16200,3.3184,0.45,1.2684,1.2,0.4,3.3184,1.6,1.7184,58.81,58.773,58.769,58.77,58.774,58.779,58.775,58.774,33.184,4.5,12.684,12,4,33.184,16,17.184,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16800,3.3184,0.45,1.2684,1.2,0.4,3.3184,1.6,1.7184,58.81,58.773,58.769,58.77,58.774,58.779,58.775,58.774,33.184,4.5,12.684,12,4,33.184,16,17.184,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17400,3.3184,0.45,1.2684,1.2,0.4,3.3184,1.6,1.7184,58.81,58.773,58.769,58.77,58.774,58.779,58.775,58.774,33.184,4.5,12.684,12,4,33.184,16,17.184,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18000,4.363,0.45,1.5052,1.8078,0.6,4.363,2.4078,1.9552,57.321,57.262,57.256,57.25,57.258,57.269,57.26,57.263,43.63,4.5,15.052,18.078,6,43.63,24.078,19.552,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18600,4.363,0.45,1.5052,1.8078,0.6,4.363,2.4078,1.9552,57.321,57.262,57.256,57.25,57.258,57.269,57.26,57.263,43.63,4.5,15.052,18.078,6,43.63,24.078,19.552,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19200,4.363,0.45,1.5052,1.8078,0.6,4.363,2.4078,1.9552,57.321,57.262,57.256,57.25,57.258,57.269,57.26,57.263,43.63,4.5,15.052,18.078,6,43.63,24.078,19.552,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19800,4.363,0.45,1.5052,1.8078,0.6,4.363,2.4078,1.9552,57.321,57.262,57.256,57.25,57.258,57.269,57.26,57.263,43.63,4.5,15.052,18.078,6,43.63,24.078,19.552,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20400,4.363,0.45,1.5052,1.8078,0.6,4.363,2.4078,1.9552,57.321,57.262,57.256,57.25,57.258,57.269,57.26,57.263,43.63,4.5,15.052,18.078,6,43.63,24.078,19.552,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21000,4.363,0.45,1.5052,1.8078,0.6,4.363,2.4078,1.9552,57.321,57.262,57.256,57.25,57.258,57.269,57.26,57.263,43.63,4.5,15.052,18.078,6,43.63,24.078,19.552,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21600,5.603,0.45,1.7492,2.6039,0.8,5.603,3.4039,2.1992,55.729,55.638,55.63,55.609,55.627,55.647,55.629,55.639,56.03,4.5,17.492,26.039,8,56.03,34.039,21.992,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22200,5.603,0.45,1.7492,2.6039,0.8,5.603,3.4039,2.1992,55.729,55.638,55.63,55.609,55.627,55.647,55.629,55.639,56.03,4.5,17.492,26.039,8,56.03,34.039,21.992,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22800,5.603,0.45,1.7492,2.6039,0.8,5.603,3.4039,2.1992,55.729,55.638,55.63,55.609,55.627,55.647,55.629,55.639,56.03,4.5,17.492,26.039,8,56.03,34.039,21.992,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23400,5.603,0.45,1.7492,2.6039,0.8,5.603,3.4039,2.1992,55.729,55.638,55.63,55.609,55.627,55.647,55.629,55.639,56.03,4.5,17.492,26.039,8,56.03,34.039,21.992,120,125,135,125,135,130,130,130,100,90,90,110,110,100,105,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
